0x005E Name: GET_ALL_ICONS                                flags: 0x016B
0x005F Name: GET_ALL_VALID_VALUES                         flags: 0x0025
0x0060 Name: GET_ALL_MODE_EFFECT_GROUPS                   flags: 0x0027
0x0061 Name: GET_ALL_DEVICE_EFFECT_GROUPS                 flags: 0x0117
0x0062 Name: GET_ALL_ITEM_EFFECT_GROUPS                   flags: 0x0088
0x0063 Name: GET_ALL_PROPERTIES                           flags: 0x00DE
0x0064 Name: CHARACTER_ADD_INVENTORY_ITEM                 flags: 0x00DD
0x0065 Name: CHARACTER_UPDATE_INVENTORY_ITEM              flags: 0x01AB
0x0066 Name: CHARACTER_REMOVE_INVENTORY_ITEM              flags: 0x0170
0x0067 Name: CHAR_UPDATE                                  flags: 0x0083
0x0068 Name: GET_ALL_SKILL_GROUP_SETS                     flags: 0x0163
0x0069 Name: GET_ALL_SKILL_GROUP_SET_GROUPS               flags: 0x0192
0x006A Name: GET_ALL_SKILL_GROUPS                         flags: 0x0001
0x006B Name: GET_ALL_SKILL_GROUP_SKILLS                   flags: 0x01AE
0x006C Name: GET_ALL_SKILL_GROUP_RANKS                    flags: 0x01AD
0x006D Name: GET_ALL_SKILL_EFFECT_GROUPS                  flags: 0x0074
0x006E Name: GET_ALL_HEX_BUILDINGS                        flags: 0x0003
0x006F Name: PLAYER_REGISTER                              flags: 0x01D1
0x0070 Name: PLAYER_UNREGISTER                            flags: 0x008C
0x0071 Name: PLAYER_UPDATE                                flags: 0x01BE
0x0072 Name: CHAT_CONFIG                                  flags: 0x70000165
0x0073 Name: CHAT_MESSAGE                                 flags: 0x0167
0x0074 Name: GAG_PLAYER                                   flags: 0x0164
0x0075 Name: SET_TEST_CLAMP                               flags: 0x0168
0x0076 Name: SET_SOFT_CLAMP                               flags: 0x0166
0x0077 Name: SET_HARD_CLAMP                               flags: 0x002E
0x0078 Name: SET_EXPIRE_GRACE                             flags: 0x00A8
0x0079 Name: GET_ALL_MAT_RES_GROUPS                       flags: 0x000C
0x007A Name: GET_ALL_MAT_RESROUCES                        flags: 0x000D
0x007B Name: GET_ALL_MAT_PARAMETERS                       flags: 0x000E
0x007C Name: GET_ALL_MAT_RES_PARAMS                       flags: 0x000F
0x007D Name: GET_ALL_VISIBILITY_CONFIGS                   flags: 0x0010
0x007E Name: GET_ALL_DEPLOYABLE_SENSOR_CONFIGS            flags: 0x0011
0x007F Name: GET_ALL_DEVICE_DEPLOY_SENSOR_CONFIG_LIST     flags: 0x0153
0x0080 Name: GET_WRANGLED_PACKAGE_RESOURCES               flags: 0x0012
0x0081 Name: MAP_COMMIT                                   flags: 0x1000000B
